,Cami,Coordinape,HHH,Musashi13,Peth*,Rika,b0gie,dysbulic,eowulia,vanessagil
Musashi13,1,1,11,,18,18,16,11,11,13
Peth*,,1,9,5,,23,16,,23,23
Rika,,3,17,9,21,,17,3,17,13
b0gie,7,2,13,13,13,13,,13,13,13
eowulia,,1,,8,30,19,13,,,29
koH,,1,1,1,1,1,1,1,1,1
vanessagil,,1,11,13,31,15,13,,16,
