,Anna,Cami,Coordinape,Hhh,Katerina,VanessaGil,b0gie,eowulia,peth,tommy,
Anna,,10,,10,,10,16,12,42,
Cami,14,,,14,,14,14,14,14,
Hhh,12,7,,,,7,15,11,48,0
Katerina,17,11,,12,,17,11,12,20,
VanessaGil,16,10,,16,,,17,16,25,
b0gie,21,11,0,11,0,11,,21,25,
eowulia,11,15,5,12,,7,8,,42,
peth,12,10,,18,,9,6,10,,
